lake_comid,meandepth,lakevolume,maxdepth,meandused,meandcode,lakearea
806161,0.094504712,1220.517737,0.230448968,0.094504712,4,12914.8880436
806167,0.098724917,5407.746906,0.232882024,0.098724917,4,54775.9116955
806169,0.28167548,49470.29526,0.632703559,0.28167548,4,175628.683793
806179,0.568298793,39081.47584,1.093305348,0.568298793,4,68769.2335524
806181,0.138998179,22468.75855,0.278758213,0.138998179,4,161647.882216
806183,0.554637336,75691.33131,1.266952947,0.554637336,4,136469.964658
806189,0.910091525,170576.3192,2.324438293,0.910091525,4,187427.647564
806197,0.325640626,15891.76434,0.561492736,0.325640626,4,48801.5410161
806199,0.57089489,10521.25966,1.403665696,0.57089489,4,18429.4125381
806201,0.125277778,1843.296975,0.244085722,0.125277778,4,14713.6871879
806205,0.209410516,37616.69401,0.399486669,0.209410516,4,179631.338903
806209,0.113591207,2403.138409,0.27751295,0.113591207,4,21156.0289773
806213,0.117825611,2815.750144,0.280684596,0.117825611,4,23897.6111997
806217,0.522379461,9737.80794,1.111783878,0.522379461,4,18641.2523693
806219,0.927781177,140588.1053,1.880420175,0.927781177,4,151531.538713
806221,1.411248031,32397.37858,3.276071821,1.411248031,4,22956.5437566
806229,0.285401264,7341.379841,0.586886463,0.285401264,4,25723.0126347
806237,3.080858786,1213904.546,6.900191933,3.080858786,4,394014.946191
806239,0.38150359,89236.59069,0.885385369,0.38150359,4,233907.583243
806241,1.995097529,785174.8932,5.067457664,1.995097529,4,393552.137763
806243,2.292413802,2038420.544,5.859334666,2.292413802,4,889202.739276
806249,0.486609594,35174.65982,0.94111632,0.486609594,4,72285.1708598
806253,0.123020394,11312.56092,0.238332863,0.123020394,4,91956.7961972
806257,0.544828509,51667.09259,0.986502673,0.544828509,4,94831.8569422
806263,0.409626059,121491.4277,0.950814202,0.409626059,4,296591.125014
806265,0.030092904,502.0970887,0.057733437,0.030092904,4,16684.884913
806271,1.749561471,343368.5235,3.638874595,1.749561471,4,196259.756593
806273,0.318579579,15120.53748,0.772018269,0.318579579,4,47462.3565934
806275,1.888221247,4452694.431,6.224154096,1.888221247,4,2358142.38096
806277,1.155954145,147675.4494,2.565130017,1.155954145,4,127751.939898
806281,0.6879159,62952.70068,1.493377886,0.6879159,4,91512.2057659
806285,0.836192906,56008.27059,1.518693381,0.836192906,4,66980.0791653
806287,0.282055801,36404.87974,0.661471098,0.282055801,4,129069.783384
806289,0.278326077,32486.97083,0.60035379,0.278326077,4,116722.709965
806293,0.355270516,4621.005824,0.771785612,0.355270516,4,13007.0056871
806295,1.936611874,2296600.957,5.01878937,1.936611874,4,1185886.02962
806297,2.307096591,258400.1812,5.213901556,2.307096591,4,112002.336367
806299,0.820818479,30835.53676,1.914425444,0.820818479,4,37566.8124719
806301,2.637645282,7810791.291,7.037844595,2.637645282,4,2961274.3755
806305,0.659065329,139425.7359,1.678481862,0.659065329,4,211550.714203
806309,0.364053636,9563.36873,0.881859792,0.364053636,4,26269.1178655
806313,0.286410183,7292.486198,0.725049852,0.286410183,4,25461.6828333
806321,3.129990127,131160.7694,7.84998102,3.129990127,4,41904.5231368
806323,1.187654885,725546.6496,3.664257683,1.187654885,4,610906.969709
806325,0.240786922,3869.244877,0.470030856,0.240786922,4,16069.1689856
806337,1.37370438,101222.4038,2.555445634,1.37370438,4,73685.7377005
806345,0.632248779,16389.57522,1.308585374,0.632248779,4,25922.6656441
802699,0.263959125,12459.77889,0.472511631,0.263959125,4,47203.4384239
802701,0.260161643,16406.62717,0.722507189,0.260161643,4,63063.2125809
802703,1.014016146,8883.296241,2.511544527,1.014016146,4,8760.50614151
802705,0.183061704,2276.225152,0.370440639,0.183061704,4,12434.1971446
802713,0.178487377,1883.363897,0.394594257,0.178487377,4,10551.8037385
802719,0.667384611,11370.57922,1.462127252,0.667384611,4,17037.5164924
802723,0.458596186,8857.72986,0.982980078,0.458596186,4,19314.8791814
806351,0.194702199,19242.87068,0.358078495,0.194702199,4,98832.3226401
806353,3.394714905,1548775.84,8.489801647,3.394714905,4,456231.466038
806369,0,0,0,0.45,13,5601.13086206
806383,0.419325155,50719.57377,0.834864859,0.419325155,4,120955.232837
806391,0.462803735,42590.12052,0.997614115,0.462803735,4,92026.3202289
806395,0.628651282,46252.00526,1.434617936,0.628651282,4,73573.3608257
717122,0.972462584,280191.1104,2.3404284,0.972462584,4,288125.356769
717130,1.112091339,41614.42468,2.958980388,1.112091339,4,37419.9793431
806415,0.132378882,1984.887486,0.286257131,0.132378882,4,14993.9891629
717154,3.026614376,1115854.176,6.862554282,3.026614376,4,368680.639106
717556,1.382889431,34753.57289,3.0898948,1.382889431,4,25131.1280326
717558,1.352841258,42660.25954,3.298921855,1.352841258,4,31533.8235722
717560,0.385072167,15285.46695,0.947481361,0.385072167,4,39695.0660578
717566,1.190304761,23594.5449,2.563541936,1.190304761,4,19822.2749304
717582,0.232513266,4047.627666,0.472961697,0.232513266,4,17408.1401347
717586,0.303307499,4466.710313,0.635508391,0.303307499,4,14726.6746891
717590,2.421399808,1333457.255,6.382063644,2.421399808,4,550696.830275
717602,0.878908526,69197.27259,2.216530497,0.878908526,4,78730.903662
717606,0.248197709,7179.754541,0.63520387,0.248197709,4,28927.5611928
717620,0.13745344,10961.2551,0.373635942,0.13745344,4,79745.2124172
717642,0.98418629,25613.9463,2.029042099,0.98418629,4,26025.5054619
717650,7.617530936,20225852.36,20.38158548,7.617530936,4,2655171.53089
717656,0.852351143,34434.53343,1.887414181,0.852351143,4,40399.4806195
717662,0.427481758,10397.25916,1.087832519,0.427481758,4,24322.1100542
717674,1.812206623,519726.5088,4.635239644,1.812206623,4,286792.082192
717676,0.410088934,10459.08167,0.908194596,0.410088934,4,25504.4205269
717686,2.295749139,170450.1416,5.36525933,2.295749139,4,74245.9831235
